"HospitalID
DoH Short Code",Hospital,"HospitalID
DoH Short Code",LATITUDE,LONGITUDE,Region,Province,Address,Contact,Type,Service Capability Level,Capacity,"COVID Capacity
(Y/N)",Notes
2593,Mariano Marcos Memorial & Medical Center,2593,18.060359,120.559341,Region 1,Ilocos Norte,"Brgy. 6, San Julian, Batac, Ilocos Norte",77-7923144 / 6008000 / 77-7731770 / 7720303,Public - DOH Retained,Level 3,200,,"From Sec Duque's EA: 
All hospitals, whether public or private, should accommodate anyone and be able to take their samples. THEY ARE NOT ALLOWED TO TURN ANYONE DOWN. "
2073,Gov. Roque B. Ablan Sr. Memorial Hospital,2073,18.199188,120.601442,Region 1,Ilocos Norte,"Brgy. 23, San Matias, P. Gomez St., Laoag, Ilocos Norte",7704155 fax,Public,Level 2,100,,"RITM houses the laboratory for running confirmatory tests, so hospitals forward the samples to them"
2185,"Sta. Teresita Hospital, Inc. ",2185,18.0152,120.673971,Region 1,Ilocos Norte,"Brgy. Fortuna, Marcos, ilocos Norte",-,Private,Level 2,50,,
5640,"The Black Nazarene Hospital, Inc. ",5640,18.173874,120.592998,Region 1,Ilocos Norte,"29 Bonoan St., Brgy. 2, San Nicolas, Ilocos Norte",077-7731757 / 0920-9556675 / 7731757 fax / theblacknazarene1296@yahoo.com,Private,Level 2,18,,
32085,Northside Doctors Hospital,32085,17.603378,120.394031,Region 1,Ilocos Sur,"Guimod, Bantay, Ilocos Sur",077-6040474 / 0475,Private,Level 2,100,,
5002,Gabriela Silang General Hospital,5002,17.553405,120.379606,Region 1,Ilocos Sur,"Quirino Blvd., Tamag, Vigan City, Ilocos Sur",077-7227099/7339,Public ,Level 2,100,,"For severe cases, RITM, Lung Center, and San Lazaro are the MAIN DOH hospitals for proper clinical management"
5358,City of Candon Hospital,5358,17.184805,120.445659,Region 1,Ilocos Sur,"San Nicolas, Candon, Ilocos Sur",077-7425675,Public ,Level 2,25,,"Guidelines on the management and referrals of suspected and confirmed COVID-19 Cases under Code Red: 
-All municipal and city health offices are directed to triage and manage all patients suspected to have COVID 19
-They must coordinate with brgy. Emergency Health Response Teams for monitoring those in home quarantine
-ALL Level 2 and 3 hospitals must ATTEND TO ALL PATIENTS suspected to have COVID 19 and those confirmed but with mild symptoms
-ALL Level 2 and 3 hospitals are encouraged to designate a triage  area in ER for screening purposes
-ALL Level 2 and 3 hospitals are NOT TO REFUSE patients suspected or diagnosed with COVID 19. 
-Only CONFIRMED COVID 19 PATIENTS that are SEVERE AND CRITICAL shall ber eferred to RITM, San Lazaro, and Luncg Center"
5234,Metro Vigan Multi-Purpose Cooperative Hospital,5234,17.580801,120.386556,Region 1,Ilocos Sur,"Roxas Dike, Bantay, Ilocos Sur",077-6340674 / mvch_1998@yahoo.com.ph,Private,Level 2,61,,
2877,La Union Medical Center,2877,16.346533,120.363759,Region 1,La Union,"Nazareno, Agoo, La Union",launionmedicalcenter@ymail.com,Public ,Level 2,100,,
5674,"La Union Medical Diagnostic Center and Hospital, Inc.",5674,,,Region 1,La Union,"Ancheta St. cor. Bucaneg St., San Fernando City, La Union",6078339 / 6078340 / 8887801 fax / launionmed@gmail.com,Private,Level 2,18,,
